"","ClassActinopterygii","ClassAves","ClassMammalia","ClassReptilia","nchar","haddock_score_mean","haddock_score_sd","ForStrat.ground","ForStrat.understory","ForStrat.arboreal","ForStrat.aerial","ForStrat.marine","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","incubation_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","maximum_longevity_y","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","gestation_d","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","range_size","major_habitat_type_breadth","tnc_ecoregion_breadth","AA_30_positive","OrderCarnivora","OrderChiroptera","OrderPasseriformes","OrderPerciformes","OrderPrimates","OrderRodentia","ClassActinopterygii.1","ClassAves.1","ClassMammalia.1","ClassReptilia.1","above_haddock_median"
"40",0,0,1,0,813,-124.06666,2.38562526963291,1,0,0,0,0,0,1,0,68.481,76.5,68,17.52208,1.23837423104327,5,-1.33623384228797,4.42902948826922,5.35974166853504,6.46006093665624,14.8,NA,NA,2.13,312.15,67.495,12,NA,6.70073110954781,6.46006093665624,40,0.1,NA,NA,NA,1,0,0,0,0,0,1,0,0,1,0,1
"41",0,0,1,0,805,-136.96867,3.20523866854456,0,0,1,0,0,0,0,1,1505,2921,162,521,0,0.5,0.780165972522084,5.45371726577573,7.20785987143248,7.88419993367604,55,NA,NA,NA,NA,162,54,NA,NA,NA,47.141,0.6,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,0
"42",0,0,1,0,805,-132.3793,2.30585181223772,1,0,0,0,0,1,1,1,2026.12452,1643,515,365,0,0.42,0.995227157689664,10.8428436224879,12.5226422391395,14.6175121434363,50,NA,NA,NA,NA,515,45,NA,NA,NA,339.3405,0.1,12628363.8246281,0.5625,0.369047619047619,1,0,0,0,0,0,0,0,0,1,0,0
"43",0,0,1,0,805,-134.52038,2.18024692882862,0,0,1,0,0,0,0,1,1318.86,NA,NA,NA,0.00498754151103897,1,0.17326861058738,6.26752307716857,NA,9.08000387024818,46,NA,NA,NA,NA,167,27,8.71053711149193,9.34382176335066,NA,77.4,0.3,316365.524794272,0.1875,0.0476190476190476,1,0,0,0,0,1,0,0,0,1,0,0
"44",0,1,0,0,806,-130.12471,2.20079415537513,0,0,1,1,0,0,0,1,365,365,20,NA,1.50407739677627,1,NA,0.22314355131421,NA,3.15700042115011,15,NA,NA,NA,NA,NA,14,NA,3.13549421592915,3.16124671203156,13,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0
"45",1,0,0,0,804,-141.01026,3.75244339218536,1,0,0,0,1,NA,NA,NA,2372,2281,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2533333333333,NA,312301783.484059,0.607142857142857,0.341772151898734,0,0,0,0,0,0,0,1,0,0,0,0
"46",0,1,0,0,809,-111.470997,3.02443532938721,1,0,0,0,0,0,0,1,365,365,24.55,NA,1.38629436111989,15,NA,2.287471455184,NA,4.54621604314442,10.916667,NA,NA,NA,NA,NA,10.9,4.61512051684126,4.52287494326126,4.46923590874726,NA,0.2,7196872.81148319,0.6875,0.380952380952381,0,0,0,0,0,0,0,0,1,0,0,1
"47",0,0,0,1,811,-116.82432,1.71659279633944,NA,NA,NA,NA,NA,NA,NA,NA,3650,3650,59,NA,4.72295322164447,1.03,NA,3.17387845893747,NA,11.982929094216,75,NA,NA,NA,NA,59,75,11.7605664878848,NA,11.6028505986781,NA,NA,177186727.785178,0.4375,0.261904761904762,0,0,0,0,0,0,0,0,0,0,1,1
"48",0,0,0,1,808,-126.44506,2.99048954008092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,2.30258509299405,3.3333821,NA,NA,NA,12.0725412529057,177,NA,NA,NA,NA,NA,70,NA,NA,12.0320168331533,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
"49",0,0,1,0,805,-136.234253,2.41021002622893,1,0,0,0,0,1,1,0,240,241.76,111,54,0.521765563804325,2,NA,3.67046086858992,NA,6.18414889093748,20,NA,NA,1.31,307.85,112.47,17.166667,6.04500531403601,6.03344586934808,6.07924646049152,34.25,0.1,24492.7967208615,0.0625,0.0119047619047619,1,0,0,0,0,0,1,0,0,1,0,0
"50",0,1,0,0,811,-127.13093,1.88845259643974,0,1,1,0,0,0,0,1,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,2.91777073208428,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91777073208428,NA,0.2,420162.321778038,0.375,0.166666666666667,1,0,0,1,0,0,0,0,1,0,0,1
"51",0,1,0,0,808,-130.18515,2.56945952304284,NA,NA,NA,NA,NA,NA,NA,NA,545.202,NA,23.5,NA,0.916290731874155,1,NA,NA,NA,7.31488566640936,15,NA,NA,NA,NA,NA,12.5,7.17011954344963,7.58069975222456,NA,NA,NA,5921235.70835214,0.5,0.273809523809524,1,0,0,0,0,0,0,0,1,0,0,0
"52",0,0,1,0,805,-137.50229,3.3114339171523,0,1,0,0,0,0,0,1,1318.86,1825,162,212.74764,0,1,0.17326861058738,5.78657524359634,6.9433637064495,8.53782880501631,46,NA,NA,NA,309.95,167.99,30.691667,8.34711636103872,8.6795671104005,NA,66,0.4,1146189.84662902,0.3125,0.107142857142857,1,0,0,0,0,1,0,0,0,1,0,0
"53",0,0,1,0,805,-134.8058,1.67270694584158,0,1,0,0,0,0,0,1,1318.86,1825,NA,212.74764,0,1,0.17326861058738,5.78657524359634,6.9433637064495,8.53782880501631,46,NA,NA,NA,NA,167.99,30.345833,8.34711636103872,8.6795671104005,NA,66,0.4,1517134.02543469,0.25,0.0833333333333333,1,0,0,0,0,1,0,0,0,1,0,0
